115	100	85	70	55
92	80	68	56	44
75	65	55	46	36
63	55	46	38	29
52	45	38	32	22
42	35	30	25	17
34	30	25	20	12
29	25	20	15	7
22	20	15	9	3
17	15	10	4	1
12	10	5	1	0
7	5	2	0	
4	2	0		
2	0			
0				
